created_at,incentives_name,path_name
'2022-11-05 22:31:21.576',"job","aerospace engineering and operations technicians"
'2022-11-05 22:31:21.576',"job","aerospace engineers"
'2022-11-05 22:31:21.576',"job","agricultural engineers"
'2022-11-05 22:31:21.576',"job","architects"
'2022-11-05 22:31:21.576',"job","biomedical engineers"
'2022-11-05 22:31:21.576',"job","cartographers, photogrammetrists"
'2022-11-05 22:31:21.576',"job","chemical engineers"
'2022-11-05 22:31:21.576',"job","civil engineering technicians"
'2022-11-05 22:31:21.576',"job","civil engineers"
'2022-11-05 22:31:21.576',"job","computer hardware engineers"
'2022-11-05 22:31:21.576',"job","drafters"
'2022-11-05 22:31:21.576',"job","electrical and eletronics engineering technicians"
'2022-11-05 22:31:21.576',"job","electrical land electronics engineers"
'2022-11-05 22:31:21.576',"job","electro mechanical technicians"
'2022-11-05 22:31:21.576',"job","environmental engineering technicians"
'2022-11-05 22:31:21.576',"job","environmental engineers"
'2022-11-05 22:31:21.576',"job","health and safety engineers"
'2022-11-05 22:31:21.576',"job","industrial engineering technicians"
'2022-11-05 22:31:21.576',"job","industrial engineers"
'2022-11-05 22:31:21.576',"job","landscape architects"
'2022-11-05 22:31:21.576',"job","marine engineers and naval architects"
'2022-11-05 22:31:21.576',"job","materials engineers"
'2022-11-05 22:31:21.576',"job","mechanical engineering technicians"
'2022-11-05 22:31:21.576',"job","mechanical engineers"
'2022-11-05 22:31:21.576',"job","mining and geological engineers"
'2022-11-05 22:31:21.576',"job","nuclear engineers"
'2022-11-05 22:31:21.576',"job","petroleum engineers"
'2022-11-05 22:31:21.576',"job","surveying and mapping technicians"
'2022-11-05 22:31:21.576',"job","surveyors"
'2022-11-05 22:31:21.576',"job","art directors"
'2022-11-05 22:31:21.576',"job","craft and fine artists"
'2022-11-05 22:31:21.576',"job","fashion designers"
'2022-11-05 22:31:21.576',"job","floral designers"
'2022-11-05 22:31:21.576',"job","graphic designers"
'2022-11-05 22:31:21.576',"job","industrial designers"
'2022-11-05 22:31:21.576',"job","interior designers"
'2022-11-05 22:31:21.576',"job","multimedia artists and animators"
'2022-11-05 22:31:21.576',"job","grounds maintenance workers"
'2022-11-05 22:31:21.576',"job","janitors and building cleaners"
'2022-11-05 22:31:21.576',"job","pest control workers"
'2022-11-05 22:31:21.576',"job","accountants and auditors"
'2022-11-05 22:31:21.576',"job","appraisers and assessors of real estate"
'2022-11-05 22:31:21.576',"job","budget analysts"
'2022-11-05 22:31:21.576',"job","claims adjusters, appraisers examiners, and investigators"
'2022-11-05 22:31:21.576',"job","compensation, benefits and job analysis specialists"
'2022-11-05 22:31:21.576',"job","cost estimators"
'2022-11-05 22:31:21.576',"job","financial analysts"
'2022-11-05 22:31:21.576',"job","financial examiners"
'2022-11-05 22:31:21.576',"job","fundraisers"
'2022-11-05 22:31:21.576',"job","human resources specialists"
'2022-11-05 22:31:21.576',"job","insurance underwriters"
'2022-11-05 22:31:21.576',"job","labor relations specialists"
'2022-11-05 22:31:21.576',"job","loan officers"
'2022-11-05 22:31:21.576',"job","logisticians"
'2022-11-05 22:31:21.576',"job","management analysts"
'2022-11-05 22:31:21.576',"job","market research analysts"
'2022-11-05 22:31:21.576',"job","meeting, convention and event planner"
'2022-11-05 22:31:21.576',"job","personal financial advisors"
'2022-11-05 22:31:21.576',"job","purchasing managers, buyers, and purchasing agents"
'2022-11-05 22:31:21.576',"job","tax examiners and collectors and revenue agents"
'2022-11-05 22:31:21.576',"job","training and development specialists"
'2022-11-05 22:31:21.576',"job","health educators and community health workers"
'2022-11-05 22:31:21.576',"job","marriage and family therapists"
'2022-11-05 22:31:21.576',"job","probation officers and correctional treatment specialists"
'2022-11-05 22:31:21.576',"job","rehabilitation counselors"
'2022-11-05 22:31:21.576',"job","school and career counselors"
'2022-11-05 22:31:21.576',"job","web developers"
'2022-11-05 22:31:21.576',"job","social and human service assistants"
'2022-11-05 22:31:21.576',"job","social workers"
'2022-11-05 22:31:21.576',"job","substance abuse, behavioral disorder and mental health counselors"
'2022-11-05 22:31:21.576',"job","computer and information research scientists"
'2022-11-05 22:31:21.576',"job","computer network architects"
'2022-11-05 22:31:21.576',"job","computer programmers"
'2022-11-05 22:31:21.576',"job","computer support specialists"
'2022-11-05 22:31:21.576',"job","computer systems analysts"
'2022-11-05 22:31:21.576',"job","database administrators"
'2022-11-05 22:31:21.576',"job","information security analysts"
'2022-11-05 22:31:21.576',"job","network and computer systems administrators"
'2022-11-05 22:31:21.576',"job","software developers"
'2022-11-05 22:31:21.576',"job","boilermakers"
'2022-11-05 22:31:21.576',"job","carpenters"
'2022-11-05 22:31:21.576',"job","construction and building inspectors"
'2022-11-05 22:31:21.576',"job","construction equipment operators"
'2022-11-05 22:31:21.576',"job","construction laborers and helpers"
'2022-11-05 22:31:21.576',"job","drywall and ceiling tile installers and tapers"
'2022-11-05 22:31:21.576',"job","electricians"
'2022-11-05 22:31:21.576',"job","elevator installers and repairers"
'2022-11-05 22:31:21.576',"job","flooring installers and tile and marble setters"
'2022-11-05 22:31:21.576',"job","glaziers"
'2022-11-05 22:31:21.576',"job","hazardous materials remove workers"
'2022-11-05 22:31:21.576',"job","insulation workers"
'2022-11-05 22:31:21.576',"job","ironworkers"
'2022-11-05 22:31:21.576',"job","masonry workers"
'2022-11-05 22:31:21.576',"job","painters, construction and maintenance"
'2022-11-05 22:31:21.576',"job","plumbers, pipefitters, steamfitters"
'2022-11-05 22:31:21.576',"job","roofers"
'2022-11-05 22:31:21.576',"job","sheet metal workers"
'2022-11-05 22:31:21.576',"job","solar photovoltaic installers"
'2022-11-05 22:31:21.576',"job","adult literacy and high school equivalency diploma teachers"
'2022-11-05 22:31:21.576',"job","archivists, curators and museum workers"
'2022-11-05 22:31:21.576',"job","career and technical education teachers"
'2022-11-05 22:31:21.576',"job","high school teachers"
'2022-11-05 22:31:21.576',"job","instructional coordinators"
'2022-11-05 22:31:21.576',"job","kindergarten and elementary school teachers"
'2022-11-05 22:31:21.576',"job","librarians"
'2022-11-05 22:31:21.576',"job","library technicians and assistants"
'2022-11-05 22:31:21.576',"job","middle school teachers"
'2022-11-05 22:31:21.576',"job","postsecondary teachers"
'2022-11-05 22:31:21.576',"job","preschool teachers"
'2022-11-05 22:31:21.576',"job","special education teachers"
'2022-11-05 22:31:21.576',"job","teacher assistants"
'2022-11-05 22:31:21.576',"job","actors"
'2022-11-05 22:31:21.576',"job","athletes and sports competitors"
'2022-11-05 22:31:21.576',"job","automotive body and glass repairers"
'2022-11-05 22:31:21.576',"job","coaches and scouts"
'2022-11-05 22:31:21.576',"job","dancers and choreographers"
'2022-11-05 22:31:21.576',"job","nurse anesthetists, nurse midwives, nurse practitioners"
'2022-11-05 22:31:21.576',"job","music directors and composers"
'2022-11-05 22:31:21.576',"job","musicians and singers"
'2022-11-05 22:31:21.576',"job","producers and directors"
'2022-11-05 22:31:21.576',"job","umpires, referees and other sports officials"
'2022-11-05 22:31:21.576',"job","agricultural workers"
'2022-11-05 22:31:21.576',"job","fishing and hunting workers"
'2022-11-05 22:31:21.576',"job","forest and conservation workers"
'2022-11-05 22:31:21.576',"job","logging workers"
'2022-11-05 22:31:21.576',"job","bartenders"
'2022-11-05 22:31:21.576',"job","anthropologists, archeologists"
'2022-11-05 22:31:21.576',"job","chefs and head cooks"
'2022-11-05 22:31:21.576',"job","cooks"
'2022-11-05 22:31:21.576',"job","food and beverage serving and related workers"
'2022-11-05 22:31:21.576',"job","food preparation workers"
'2022-11-05 22:31:21.576',"job","waiters and waitresses"
'2022-11-05 22:31:21.576',"job","athletic trainers"
'2022-11-05 22:31:21.576',"job","audiologists"
'2022-11-05 22:31:21.576',"job","chiropractors"
'2022-11-05 22:31:21.576',"job","dental assistants"
'2022-11-05 22:31:21.576',"job","dental hygienists"
'2022-11-05 22:31:21.576',"job","dentists"
'2022-11-05 22:31:21.576',"job","diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists"
'2022-11-05 22:31:21.576',"job","dietitians and nutritionists"
'2022-11-05 22:31:21.576',"job","emts and paramedics"
'2022-11-05 22:31:21.576',"job","exercise physiologists"
'2022-11-05 22:31:21.576',"job","genetic counselors"
'2022-11-05 22:31:21.576',"job","home health aides and personal care aides"
'2022-11-05 22:31:21.576',"job","licensed practical, licenses vocational nurses"
'2022-11-05 22:31:21.576',"job","massage therapists"
'2022-11-05 22:31:21.576',"job","medical and clinical laboratory technologists and technicians"
'2022-11-05 22:31:21.576',"job","medical assistants"
'2022-11-05 22:31:21.576',"job","medical records and health information technicians"
'2022-11-05 22:31:21.576',"job","medical transcriptionists"
'2022-11-05 22:31:21.576',"job","nuclear medicine technologists"
'2022-11-05 22:31:21.576',"job","nursing assistants and orderlies"
'2022-11-05 22:31:21.576',"job","occupational health and safety specialists and technicians"
'2022-11-05 22:31:21.576',"job","occupational therapists"
'2022-11-05 22:31:21.576',"job","occupational therapy assistants and aides"
'2022-11-05 22:31:21.576',"job","opticians"
'2022-11-05 22:31:21.576',"job","optometrists"
'2022-11-05 22:31:21.576',"job","orthotists and prosthetists"
'2022-11-05 22:31:21.576',"job","pharmacists"
'2022-11-05 22:31:21.576',"job","pharmacy technicians"
'2022-11-05 22:31:21.576',"job","phlebotomists"
'2022-11-05 22:31:21.576',"job","physical therapist assistants and aides"
'2022-11-05 22:31:21.576',"job","surgical technologists"
'2022-11-05 22:31:21.576',"job","physical therapists"
'2022-11-05 22:31:21.576',"job","physician assistants"
'2022-11-05 22:31:21.576',"job","physicians and surgeons"
'2022-11-05 22:31:21.576',"job","podiatrists"
'2022-11-05 22:31:21.576',"job","compensation, managers, benefits managers"
'2022-11-05 22:31:21.576',"job","psychiatric technicians and aides"
'2022-11-05 22:31:21.576',"job","radiation therapists"
'2022-11-05 22:31:21.576',"job","radiologic and mri technologists"
'2022-11-05 22:31:21.576',"job","recreational therapists"
'2022-11-05 22:31:21.576',"job","registered nurses"
'2022-11-05 22:31:21.576',"job","respiratory therapists"
'2022-11-05 22:31:21.576',"job","speech language pathologists"
'2022-11-05 22:31:21.576',"job","veterinarians"
'2022-11-05 22:31:21.576',"job","veterinary assistants, laboratory animal caretakers"
'2022-11-05 22:31:21.576',"job","veterinary technologists, veterinary technicians"
'2022-11-05 22:31:21.576',"job","aircraft and avionics equipment mechanics and technicians"
'2022-11-05 22:31:21.576',"job","automotive service technicians and mechanics"
'2022-11-05 22:31:21.576',"job","diesel service technicians and mechanics"
'2022-11-05 22:31:21.576',"job","electrical and electronics installers and repairers"
'2022-11-05 22:31:21.576',"job","general maintenance and repair workers"
'2022-11-05 22:31:21.576',"job","heating, air conditioning and refrigeration mechanics and installers"
'2022-11-05 22:31:21.576',"job","heavy vehicle and mobile equipment service technicians"
'2022-11-05 22:31:21.576',"job","industrial machinery mechanics, machinery maintenance workers, millwrights"
'2022-11-05 22:31:21.576',"job","line installers and repairers"
'2022-11-05 22:31:21.576',"job","medical equipment repairers"
'2022-11-05 22:31:21.576',"job","training and development managers"
'2022-11-05 22:31:21.576',"job","small engine mechanics"
'2022-11-05 22:31:21.576',"job","telecommunications equipment installers and repairers"
'2022-11-05 22:31:21.576',"job","wind turbine technicians"
'2022-11-05 22:31:21.576',"job","arbitrators, mediators, conciliators"
'2022-11-05 22:31:21.576',"job","court reporters"
'2022-11-05 22:31:21.576',"job","judges and hearing officers"
'2022-11-05 22:31:21.576',"job","lawyers"
'2022-11-05 22:31:21.576',"job","paralegals and legal assistants"
'2022-11-05 22:31:21.576',"job","agricultural and food science technicians"
'2022-11-05 22:31:21.576',"job","agricultural and food scientists"
'2022-11-05 22:31:21.576',"job","atmospheric scientists, meteorologists"
'2022-11-05 22:31:21.576',"job","biochemists and biophysicists"
'2022-11-05 22:31:21.576',"job","biological technicians"
'2022-11-05 22:31:21.576',"job","chemical technicians"
'2022-11-05 22:31:21.576',"job","chemists, materials scientists"
'2022-11-05 22:31:21.576',"job","conservation scientists, foresters"
'2022-11-05 22:31:21.576',"job","economists"
'2022-11-05 22:31:21.576',"job","environmental science and protection technicians"
'2022-11-05 22:31:21.576',"job","environmental scientists and specialists"
'2022-11-05 22:31:21.576',"job","epidemiologists"
'2022-11-05 22:31:21.576',"job","forensic science technicians"
'2022-11-05 22:31:21.576',"job","geographers"
'2022-11-05 22:31:21.576',"job","geological technicians, petroleum technicians"
'2022-11-05 22:31:21.576',"job","geoscientists"
'2022-11-05 22:31:21.576',"job","historians"
'2022-11-05 22:31:21.576',"job","urban and regional planners"
'2022-11-05 22:31:21.576',"job","hydrologists"
'2022-11-05 22:31:21.576',"job","medical scientists"
'2022-11-05 22:31:21.576',"job","microbiologists"
'2022-11-05 22:31:21.576',"job","nuclear technicians"
'2022-11-05 22:31:21.576',"job","physicists, astronomers"
'2022-11-05 22:31:21.576',"job","political scientists"
'2022-11-05 22:31:21.576',"job","psychologists"
'2022-11-05 22:31:21.576',"job","sociologists"
'2022-11-05 22:31:21.576',"job","survey researchers"
'2022-11-05 22:31:21.576',"job","zoologists, wildlife biologists"
'2022-11-05 22:31:21.576',"job","administrative services managers"
'2022-11-05 22:31:21.576',"job","advertising managers, promotions managers, marketing managers"
'2022-11-05 22:31:21.576',"job","architectural managers, engineering managers"
'2022-11-05 22:31:21.576',"job","computer and information systems managers"
'2022-11-05 22:31:21.576',"job","construction managers"
'2022-11-05 22:31:21.576',"job","elementary, middle, and high school principals"
'2022-11-05 22:31:21.576',"job","emergency management directors"
'2022-11-05 22:31:21.576',"job","farmers, ranchers, and other agricultural managers"
'2022-11-05 22:31:21.576',"job","customer service representatives"
'2022-11-05 22:31:21.576',"job","financial managers"
'2022-11-05 22:31:21.576',"job","food service managers"
'2022-11-05 22:31:21.576',"job","social and community service managers"
'2022-11-05 22:31:21.576',"job","human resources managers"
'2022-11-05 22:31:21.576',"job","industrial production managers"
'2022-11-05 22:31:21.576',"job","lodging managers"
'2022-11-05 22:31:21.576',"job","medical and health services managers"
'2022-11-05 22:31:21.576',"job","natural sciences managers"
'2022-11-05 22:31:21.576',"job","postsecondary education administrators"
'2022-11-05 22:31:21.576',"job","preschool and childcare center directors"
'2022-11-05 22:31:21.576',"job","property managers, real estate managers, community association managers"
'2022-11-05 22:31:21.576',"job","public relations managers, fundraising managers"
'2022-11-05 22:31:21.576',"job","sales managers"
'2022-11-05 22:31:21.576',"job","skincare specialists"
'2022-11-05 22:31:21.576',"job","top executives"
'2022-11-05 22:31:21.576',"job","actuaries"
'2022-11-05 22:31:21.576',"job","mathematicians, statisticians"
'2022-11-05 22:31:21.576',"job","operations research analysts"
'2022-11-05 22:31:21.576',"job","announcers"
'2022-11-05 22:31:21.576',"job","broadcast and sound engineering technicians"
'2022-11-05 22:31:21.576',"job","editors"
'2022-11-05 22:31:21.576',"job","film and video editors, camera operators"
'2022-11-05 22:31:21.576',"job","interpreters, translators"
'2022-11-05 22:31:21.576',"job","photographers"
'2022-11-05 22:31:21.576',"job","public relations specialists"
'2022-11-05 22:31:21.576',"job","reporters, correspondents, and broadcast news analysts"
'2022-11-05 22:31:21.576',"job","technical writers"
'2022-11-05 22:31:21.576',"job","writers, authors"
'2022-11-05 22:31:21.576',"job","military careers"
'2022-11-05 22:31:21.576',"job","bill collectors, account collectors"
'2022-11-05 22:31:21.576',"job","bookkeeping, accounting, and auditing clerks"
'2022-11-05 22:31:21.576',"job","desktop publishers"
'2022-11-05 22:31:21.576',"job","financial clerks"
'2022-11-05 22:31:21.576',"job","general office clerks"
'2022-11-05 22:31:21.576',"job","information clerks"
'2022-11-05 22:31:21.576',"job","material recording clerks"
'2022-11-05 22:31:21.576',"job","police, fire and ambulance dispatchers"
'2022-11-05 22:31:21.576',"job","postal service workers"
'2022-11-05 22:31:21.576',"job","receptionists"
'2022-11-05 22:31:21.576',"job","secretaries, administrative assistants"
'2022-11-05 22:31:21.576',"job","tellers"
'2022-11-05 22:31:21.576',"job","animal care and service workers"
'2022-11-05 22:31:21.576',"job","barbers, hairstylists, cosmetologists"
'2022-11-05 22:31:21.576',"job","childcare workers"
'2022-11-05 22:31:21.576',"job","fitness trainers and instructors"
'2022-11-05 22:31:21.576',"job","funeral service workers"
'2022-11-05 22:31:21.576',"job","gaming services workers"
'2022-11-05 22:31:21.576',"job","manicurists, pedicurists"
'2022-11-05 22:31:21.576',"job","recreation workers"
'2022-11-05 22:31:21.576',"job","assemblers, fabricators"
'2022-11-05 22:31:21.576',"job","bakers"
'2022-11-05 22:31:21.576',"job","butchers"
'2022-11-05 22:31:21.576',"job","dental and ophthalmic laboratory technicians, medical appliance technicians"
'2022-11-05 22:31:21.576',"job","food and tobacco processing workers"
'2022-11-05 22:31:21.576',"job","jewelers and precious stone and metal workers"
'2022-11-05 22:31:21.576',"job","machinists and tool and die makers"
'2022-11-05 22:31:21.576',"job","metal and plastic machine workers"
'2022-11-05 22:31:21.576',"job","painting and coating workers"
'2022-11-05 22:31:21.576',"job","power plant operators, distributors, and dispatchers"
'2022-11-05 22:31:21.576',"job","quality control inspectors"
'2022-11-05 22:31:21.576',"job","stationary engineers and boiler operators"
'2022-11-05 22:31:21.576',"job","water and wastewater treatment plant and system operators"
'2022-11-05 22:31:21.576',"job","welders, cutters, solderers, and brazers"
'2022-11-05 22:31:21.576',"job","woodworkers"
'2022-11-05 22:31:21.576',"job","correctional officers and bailiffs"
'2022-11-05 22:31:21.576',"job","firefighters"
'2022-11-05 22:31:21.576',"job","fire inspectors"
'2022-11-05 22:31:21.576',"job","police and detectives"
'2022-11-05 22:31:21.576',"job","private detectives and investigators"
'2022-11-05 22:31:21.576',"job","security guards and gaming surveillance officers"
'2022-11-05 22:31:21.576',"job","advertising sales agents"
'2022-11-05 22:31:21.576',"job","cashiers"
'2022-11-05 22:31:21.576',"job","insurance sales agents"
'2022-11-05 22:31:21.576',"job","models"
'2022-11-05 22:31:21.576',"job","real estate brokers and sales agents"
'2022-11-05 22:31:21.576',"job","retail sales workers"
'2022-11-05 22:31:21.576',"job","sales engineers"
'2022-11-05 22:31:21.576',"job","securities, commodities, and financial services sales agents"
'2022-11-05 22:31:21.576',"job","travel agents"
'2022-11-05 22:31:21.576',"job","wholesale and manufacturing sales representatives"
'2022-11-05 22:31:21.576',"job","airline and commercial pilots"
'2022-11-05 22:31:21.576',"job","air traffic controllers"
'2022-11-05 22:31:21.576',"job","bus drivers"
'2022-11-05 22:31:21.576',"job","delivery truck drivers and driver or sales workers"
'2022-11-05 22:31:21.576',"job","flight attendants"
'2022-11-05 22:31:21.576',"job","hand laborers and material movers"
'2022-11-05 22:31:21.576',"job","heavy and tractor trailer truck drivers"
'2022-11-05 22:31:21.576',"job","material moving machine operators"
'2022-11-05 22:31:21.576',"job","railroad workers"
'2022-11-05 22:31:21.576',"job","taxi drivers, ride hailing drivers, and chauffeurs"
'2022-11-05 22:31:21.576',"job","water transportation workers"
